base-record path=sylver/move26_data/full_82.txt rows=200
base-record path=sylver/move26_data/x_sortie.txt rows=3
ROW-CHECKPOINT loaded path=sylver/move26_data/periodicity_x.cache.rowstate active_n=409 scanned_to=407 shapes=1406524 eparts=1051 evaluations=23224931838
engine base=16,26,82,88, f=59 tbar=118
ROW begin n=409 shapes=1406524 eparts=1051
EVALUATIONS count=24920000000 sid=1452765 m=147 shapes=1455120 eparts=1072
EVALUATIONS count=24930000000 sid=1453072 m=235 shapes=1455120 eparts=1072
EVALUATIONS count=24940000000 sid=1399425 m=317 shapes=1455120 eparts=1072
EVALUATIONS count=24950000000 sid=197 m=363 shapes=1455120 eparts=1072
EVALUATIONS count=24960000000 sid=694450 m=121 shapes=1457394 eparts=1072
EVALUATIONS count=24970000000 sid=700233 m=105 shapes=1457394 eparts=1072
EVALUATIONS count=24980000000 sid=706766 m=203 shapes=1457394 eparts=1072
EVALUATIONS count=24990000000 sid=1444079 m=227 shapes=1457394 eparts=1072
EVALUATIONS count=25000000000 sid=1456304 m=305 shapes=1457394 eparts=1072
EVALUATIONS count=25010000000 sid=700233 m=275 shapes=1457394 eparts=1072
EVALUATIONS count=25020000000 sid=1444078 m=309 shapes=1457394 eparts=1072
SHAPES count=1460000 eparts=1076 scanned_to=407
EVALUATIONS count=25030000000 sid=1379275 m=83 shapes=1460153 eparts=1076
EVALUATIONS count=25040000000 sid=1379852 m=127 shapes=1460153 eparts=1076
EVALUATIONS count=25050000000 sid=614179 m=111 shapes=1460153 eparts=1076
EVALUATIONS count=25060000000 sid=28876 m=185 shapes=1460153 eparts=1076
EVALUATIONS count=25070000000 sid=614360 m=203 shapes=1460153 eparts=1076
EVALUATIONS count=25080000000 sid=1298715 m=177 shapes=1460153 eparts=1076
EVALUATIONS count=25090000000 sid=325444 m=157 shapes=1460153 eparts=1076
EVALUATIONS count=25100000000 sid=1314991 m=159 shapes=1460153 eparts=1076
EVALUATIONS count=25110000000 sid=1457697 m=173 shapes=1460153 eparts=1076
EVALUATIONS count=25120000000 sid=472912 m=289 shapes=1460153 eparts=1076
EVALUATIONS count=25130000000 sid=322611 m=255 shapes=1460153 eparts=1076
EVALUATIONS count=25140000000 sid=1298717 m=283 shapes=1460153 eparts=1076
EVALUATIONS count=25150000000 sid=688824 m=339 shapes=1460153 eparts=1076
EVALUATIONS count=25160000000 sid=1457697 m=281 shapes=1460153 eparts=1076
EVALUATIONS count=25170000000 sid=714528 m=371 shapes=1460153 eparts=1076
EVALUATIONS count=25180000000 sid=323836 m=389 shapes=1460153 eparts=1076
EVALUATIONS count=25190000000 sid=714200 m=383 shapes=1460153 eparts=1076
EVALUATIONS count=25200000000 sid=1457603 m=87 shapes=1462519 eparts=1076
EVALUATIONS count=25210000000 sid=1457603 m=155 shapes=1462519 eparts=1076
EVALUATIONS count=25220000000 sid=1317488 m=311 shapes=1462519 eparts=1076
EVALUATIONS count=25230000000 sid=1460207 m=359 shapes=1462519 eparts=1076
EVALUATIONS count=25240000000 sid=484449 m=139 shapes=1465015 eparts=1077
EVALUATIONS count=25250000000 sid=1462519 m=65 shapes=1465015 eparts=1077
EVALUATIONS count=25260000000 sid=714026 m=137 shapes=1465015 eparts=1077
EVALUATIONS count=25270000000 sid=325360 m=171 shapes=1465015 eparts=1077
EVALUATIONS count=25280000000 sid=1402221 m=295 shapes=1465015 eparts=1077
EVALUATIONS count=25290000000 sid=1463146 m=301 shapes=1465015 eparts=1077
EVALUATIONS count=25300000000 sid=1462519 m=251 shapes=1465015 eparts=1077
EVALUATIONS count=25310000000 sid=484422 m=407 shapes=1465015 eparts=1077
EVALUATIONS count=25320000000 sid=1457506 m=141 shapes=1467426 eparts=1077
EVALUATIONS count=25330000000 sid=1465916 m=305 shapes=1467426 eparts=1077
